,timestep,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale,Rn,Ta
1983-08-21,110,1.95830789,7.260273973,0.587212291,1.58698102,,8763.307623,88.79166666666667,14.269912499999998
1983-08-22,111,0.0,0.0,0.546536313,3.592094411,,8957.298012,164.83333333333334,14.699854166666666
1983-08-23,112,4.681429415,7.260273973,0.543142458,1.056923804,6.4,8990.144377,104.29166666666667,15.139125
1983-08-24,113,0.38507941,7.260273973,0.53253352,0.62377689,,9031.732897,34.958333333333336,14.64195
1983-08-25,114,0.0,0.0,0.484793296,2.891906367,,9282.428193,142.95833333333334,15.087008333333332
1983-08-26,115,0.0,0.0,0.440648045,3.617926216,,9575.06991,167.75,13.506524999999998
1983-08-27,116,0.0,0.0,0.423829609,3.711134278,,9691.576498,170.04166666666666,13.6866
1983-08-28,117,0.0,0.0,0.423226257,0.478942026,,9702.115458,34.041666666666664,11.713516666666665
1983-08-29,118,0.0,0.0,0.405678771,4.105426223,,9815.235076,236.83333333333334,8.485945833333334
1983-08-30,119,0.0,0.0,0.393310056,4.411160719,6.8,9916.028011,226.95833333333334,10.7696375
