Date,year,month,day,WS01,WS02,WS03,WS06,WS07,WS08,WS09,WS10,MACK,LOOKOUT
1979-10-01,1979,10,1,0.000594653787,0.000764554869,0.001727327667,0.000198217929,0.000198217929,8.4950541e-05,0.00022653477599999999,0.000198217929,0.06170240961299999,0.2605149924
1979-10-02,1979,10,2,0.000538020093,0.000764554869,0.0016423771260000001,0.000198217929,0.000198217929,8.4950541e-05,0.00022653477599999999,0.000169901082,0.053745375606,0.24352488419999999
1979-10-03,1979,10,3,0.0005097032459999999,0.000764554869,0.001614060279,0.000198217929,0.000198217929,8.4950541e-05,0.000198217929,0.00011326738799999999,0.047940421971,0.2293664607
1979-10-04,1979,10,4,0.00045306955199999997,0.0009061391039999999,0.001783961361,0.000198217929,0.000198217929,8.4950541e-05,0.000198217929,0.00011326738799999999,0.044910519342,0.21520803719999998
1979-10-05,1979,10,5,0.000424752705,0.001047723339,0.001783961361,0.000198217929,0.000198217929,8.4950541e-05,0.000198217929,0.00011326738799999999,0.042843389510999995,0.21520803719999998
1979-10-06,1979,10,6,0.000424752705,0.0010194064919999998,0.001783961361,0.000198217929,0.000198217929,8.4950541e-05,0.000198217929,0.00011326738799999999,0.041484180855000004,0.2293664607
1979-10-07,1979,10,7,0.000424752705,0.000962772798,0.001783961361,0.000198217929,0.000198217929,8.4950541e-05,0.00025485162299999995,0.00011326738799999999,0.040153289046,0.2293664607
1979-10-08,1979,10,8,0.000424752705,0.000962772798,0.001727327667,0.00022653477599999999,0.000198217929,8.4950541e-05,0.00025485162299999995,0.00011326738799999999,0.03851091192,0.2293664607
1979-10-09,1979,10,9,0.000424752705,0.000934455951,0.0016423771260000001,0.00022653477599999999,0.000198217929,8.4950541e-05,0.00022653477599999999,0.00011326738799999999,0.0368119011,0.21520803719999998
1979-10-10,1979,10,10,0.000424752705,0.0009061391039999999,0.001585743432,0.00022653477599999999,0.000169901082,8.4950541e-05,0.00022653477599999999,8.4950541e-05,0.03539605875,0.2038812984
1979-10-11,1979,10,11,0.000424752705,0.00084950541,0.001529109738,0.00022653477599999999,0.000169901082,5.6633693999999996e-05,0.00022653477599999999,0.00011326738799999999,0.034206751176,0.2038812984
1979-10-12,1979,10,12,0.00045306955199999997,0.0008211885630000001,0.001529109738,0.00022653477599999999,0.000169901082,5.6633693999999996e-05,0.00022653477599999999,0.00011326738799999999,0.034348335411,0.21520803719999998
1979-10-13,1979,10,13,0.0005097032459999999,0.000962772798,0.0019821792900000003,0.00025485162299999995,0.000198217929,8.4950541e-05,0.00022653477599999999,0.00011326738799999999,0.03596239569,0.21520803719999998
1979-10-14,1979,10,14,0.001245941268,0.0019821792900000003,0.0038794080390000003,0.000311485317,0.00028316847,0.00028316847,0.000424752705,0.00025485162299999995,0.046241411151,0.368119011
1979-10-15,1979,10,15,0.0016423771260000001,0.001557426585,0.0028316847,0.00028316847,0.00025485162299999995,0.000198217929,0.000368119011,0.000141584235,0.043126557981,0.396435858
1979-10-16,1979,10,16,0.001472476044,0.001245941268,0.002378615148,0.00025485162299999995,0.00022653477599999999,0.000141584235,0.000339802164,0.000141584235,0.039926754269999996,0.311485317
1979-10-17,1979,10,17,0.001302574962,0.001076040186,0.002293664607,0.00025485162299999995,0.00022653477599999999,0.00011326738799999999,0.000311485317,0.000141584235,0.039700219493999996,0.311485317
1979-10-18,1979,10,18,0.01868911902,0.01868911902,0.03086536323,0.00113267388,0.001359208656,0.003313071099,0.0011609907270000001,0.005040398765999999,0.135835915059,1.1043570329999999
1979-10-19,1979,10,19,0.041965567254,0.024692290584,0.046949332325999994,0.002010496137,0.002293664607,0.005465151471,0.0019821792900000003,0.012261194751,0.281809261344,2.944952088
1979-10-20,1979,10,20,0.033328928919,0.017386544058,0.035282791362,0.001840595055,0.002208714066,0.004049309120999999,0.004559012367,0.007702182384,0.205353774444,2.435248842
1979-10-21,1979,10,21,0.015347731074,0.008438420406,0.016112285942999998,0.00141584235,0.0015007928909999998,0.0020671298309999997,0.001925545596,0.002916635241,0.137308391103,1.6706939729999999
1979-10-22,1979,10,22,0.008041984548,0.005295250389,0.010363966002,0.001047723339,0.0009910896450000001,0.0012742581149999999,0.001076040186,0.000934455951,0.11414521025699999,1.1893075739999999
1979-10-23,1979,10,23,0.008325153017999999,0.005408517777,0.011298421953,0.001076040186,0.0009061391039999999,0.0013308918089999999,0.0009910896450000001,0.000651287481,0.118619272083,1.1893075739999999
1979-10-24,1979,10,24,0.008070301395,0.004587329214,0.009967530144,0.001076040186,0.0009061391039999999,0.001076040186,0.0009061391039999999,0.000594653787,0.107745602835,1.1043570329999999
1979-10-25,1979,10,25,0.027892094295,0.010590500778,0.02350298301,0.001868911902,0.0018122782079999999,0.0025485162299999998,0.0030299026289999998,0.003511289028,0.177999700242,1.812278208
1979-10-26,1979,10,26,0.014866344675,0.0067677264329999995,0.015772483779,0.001840595055,0.001727327667,0.0021803972189999997,0.001189307574,0.001840595055,0.128020465287,1.642377126
